�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-08-23,'601865,腦應杻,11.65,11.65,11.01,11.3,10.59,1.06,10.0094,20.9279,31391827,356461318.0,22717500000.0,1747500000.0
2019-08-22,'601865,腦應杻,10.59,11.04,10.42,10.83,10.23,0.36,3.5191,41.2839,61925890,666969135.0,20650500000.0,1588500000.0
2019-08-21,'601865,腦應杻,10.23,10.23,9.36,9.36,9.3,0.93,10.0,22.329,33493442,336971572.0,19948500000.0,1534500000.0
2019-08-20,'601865,腦應杻,9.3,9.35,9.19,9.34,9.26,0.04,0.432,8.3858,12578690,116612172.0,18135000000.0,1395000000.0
2019-08-19,'601865,腦應杻,9.26,9.28,9.06,9.08,9.06,0.2,2.2075,10.1915,15287223,140531150.0,18057000000.0,1389000000.0
2019-08-16,'601865,腦應杻,9.06,9.35,9.03,9.03,9.12,-0.06,-0.6579,7.8159,11723812,107514369.0,17667000000.0,1359000000.0
2019-08-15,'601865,腦應杻,9.12,9.12,8.76,8.9,9.17,-0.05,-0.5453,7.5254,11288136,100788864.0,17784000000.0,1368000000.0
2019-08-14,'601865,腦應杻,9.17,9.29,9.11,9.26,9.15,0.02,0.2186,9.0436,13565451,124463508.0,17881500000.0,1375500000.0
2019-08-13,'601865,腦應杻,9.15,9.6,9.11,9.57,9.46,-0.31,-3.277,16.6451,24967697,232637081.0,17842500000.0,1372500000.0
2019-08-12,'601865,腦應杻,9.46,9.46,8.61,8.69,8.6,0.86,10.0,13.7819,20672844,193788488.0,18447000000.0,1419000000.0
2019-08-09,'601865,腦應杻,8.6,8.94,8.6,8.8,8.72,-0.12,-1.3761,4.1111,6166672,53887245.0,16770000000.0,1290000000.0
2019-08-08,'601865,腦應杻,8.72,8.83,8.68,8.8,8.75,-0.03,-0.3429,3.7169,5575369,48736186.0,17004000000.0,1308000000.0
2019-08-07,'601865,腦應杻,8.75,9.18,8.74,9.18,9.02,-0.27,-2.9933,6.4258,9638692,85750196.0,17062500000.0,1312500000.0
2019-08-06,'601865,腦應杻,9.02,9.12,8.52,8.52,8.86,0.16,1.8059,9.1736,13760438,122540861.0,17589000000.0,1353000000.0
2019-08-05,'601865,腦應杻,8.86,9.22,8.66,8.73,8.68,0.18,2.0737,6.7061,10059100,89773418.0,17277000000.0,1329000000.0
2019-08-02,'601865,腦應杻,8.68,8.81,8.51,8.81,8.94,-0.26,-2.9083,5.6558,8483692,73367873.0,16926000000.0,1302000000.0
2019-08-01,'601865,腦應杻,8.94,9.08,8.9,8.94,8.99,-0.05,-0.5562,2.7599,4139894,37154346.0,17433000000.0,1341000000.0
2019-07-31,'601865,腦應杻,8.99,9.13,8.91,9.1,9.13,-0.14,-1.5334,3.5795,5369236,48311267.0,17530500000.0,1348500000.0
2019-07-30,'601865,腦應杻,9.13,9.23,9.08,9.1,9.12,0.01,0.1096,3.043,4564540,41816992.0,17803500000.0,1369500000.0
