日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'603530,神马电力,23.44,25.25,23.36,24.91,24.97,-1.53,-6.1274,45.2142,18105786,440921571.0,9377042845.6,938642845.6
2019-08-22,'603530,神马电力,24.97,25.6,24.35,24.46,25.6,-0.63,-2.4609,52.8996,21183376,528000066.0,9989110915.3,999910915.3
2019-08-21,'603530,神马电力,25.6,26.83,24.48,24.98,24.43,1.17,4.7892,78.7813,31547551,801780766.0,10241138944.0,1025138944.0
2019-08-20,'603530,神马电力,24.43,24.43,24.43,24.43,22.21,2.22,9.9955,2.0809,833277,20356957.0,9773086890.7,978286890.7
2019-08-19,'603530,神马电力,22.21,22.21,22.21,22.21,20.19,2.02,10.005,1.6464,659308,14643231.0,8884988122.9,889388122.9
2019-08-16,'603530,神马电力,20.19,20.19,20.19,20.19,18.35,1.84,10.0272,2.7982,1120530,22623501.0,8076898253.1,808498253.1
2019-08-15,'603530,神马电力,18.35,18.35,18.35,18.35,16.68,1.67,10.012,2.0249,810876,14879575.0,7340816391.5,734816391.5
2019-08-14,'603530,神马电力,16.68,16.68,16.68,16.68,15.16,1.52,10.0264,1.0619,425213,7092553.0,6672742093.2,667942093.2
2019-08-13,'603530,神马电力,15.16,15.16,15.16,15.16,13.78,1.38,10.0145,0.8799,352348,5341596.0,6064674468.4,607074468.4
2019-08-12,'603530,神马电力,13.78,13.78,13.78,13.78,12.53,1.25,9.9761,0.4442,177884,2451242.0,5512613072.2,551813072.2
2019-08-09,'603530,神马电力,12.53,12.53,12.53,12.53,11.39,1.14,10.0088,0.6949,278289,3486961.0,5012557459.7,501757459.7
2019-08-08,'603530,神马电力,11.39,11.39,11.39,11.39,10.35,1.04,10.0483,0.2165,86710,987627.0,4556506741.1,456106741.1
2019-08-07,'603530,神马电力,10.35,10.35,10.35,10.35,9.41,0.94,9.9894,0.0908,36348,376202.0,4140460471.5,414460471.5
2019-08-06,'603530,神马电力,9.41,9.41,9.41,9.41,8.55,0.86,10.0585,0.0866,34673,326273.0,3764418650.9,376818650.9
2019-08-05,'603530,N神马,8.55,8.55,8.55,8.55,5.94,2.61,43.9394,0.1777,71149,608324.0,3420380389.5,342380389.5
